STATE,EVENT_ID,YEAR,MONTH_NAME,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
NEBRASKA,5615279,1997,August,F0,41.13,-101.93,41.13,-101.93,0,0,0,0,,
NEBRASKA,5615283,1997,August,F0,42.8,-102.35,42.8,-102.35,0,0,0,0,,
COLORADO,5617963,1997,June,F0,40.07,-104.72,40.07,-104.72,0,0,0,0,0,0
COLORADO,5617964,1997,June,F1,39.93,-104.88,39.93,-104.88,0,0,0,0,,
MASSACHUSETTS,5605850,1997,July,F1,42.38,-73.57,42.38,-73.55,0,0,0,0,50K,
KANSAS,5605779,1997,July,F0,38.48,-101.97,38.48,-101.97,0,0,0,0,,
WISCONSIN,5612281,1997,July,F0,42.52,-88.77,42.52,-88.77,0,0,0,0,,.1K
WISCONSIN,5612453,1997,July,F1,43.18,-89.48,43.18,-89.47,0,0,0,0,130K,1K
NEBRASKA,5615275,1997,August,F0,41.18,-102.23,41.18,-102.23,0,0,0,0,,
COLORADO,5617966,1997,June,F1,40.1,-103.62,40.1,-103.62,0,0,0,0,35K,
COLORADO,5617969,1997,June,F0,39.72,-104.2,39.72,-104.2,0,0,0,0,0,
FLORIDA,5613992,1997,August,F0,27.45,-81.3,27.45,-81.3,0,0,0,0,100K,0
MINNESOTA,5606845,1997,July,F0,44.02,-92.88,44.02,-92.88,0,0,0,0,,
IOWA,5606851,1997,July,F0,43.38,-92.22,43.38,-92.15,0,0,0,0,35K,
SOUTH CAROLINA,5602092,1997,July,F1,34.47,-80.35,34.48,-80.32,0,0,0,0,25K,0
SOUTH CAROLINA,5602090,1997,July,F0,34.07,-80.8,34.08,-80.78,0,0,0,0,0,0
SOUTH CAROLINA,5602091,1997,July,F2,34.22,-80.57,34.3,-80.55,1,0,0,0,225K,
SOUTH CAROLINA,5602089,1997,July,F1,33.97,-80.98,34,-80.93,1,0,0,0,205K,0
