STATE,EVENT_ID,YEAR,MONTH_NAME,FLOOD_CAUSE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
MISSOURI,5587463,1997,February,,,,,,0,0,0,0,,
ILLINOIS,5591259,1997,February,,,,,,0,0,0,0,,
ILLINOIS,5589918,1997,February,,,,,,0,0,0,0,,
IOWA,5586132,1997,February,,,,,,0,0,0,0,,
CALIFORNIA,5590164,1997,January,,,,,,0,0,0,0,0,
NEVADA,5590165,1997,January,,,,,,0,0,0,0,,
KENTUCKY,5588528,1997,February,,,,,,0,0,0,0,,
KENTUCKY,5588529,1997,February,,,,,,0,0,0,0,,
KENTUCKY,5588530,1997,February,,,,,,0,0,0,0,,
PENNSYLVANIA,5596712,1997,January,,,,,,0,0,0,0,,
IOWA,5585539,1997,February,,,,,,0,0,0,0,,
NORTH CAROLINA,5604707,1997,June,,,,,,0,0,0,0,,
FLORIDA,5612409,1997,January,,,,,,0,0,0,0,75K,0
MICHIGAN,5587891,1997,February,,,,,,0,0,0,0,,
MISSOURI,5587467,1997,February,,,,,,0,0,0,0,,
LOUISIANA,5602263,1997,April,,,,,,0,0,0,0,475K,
MISSOURI,5587468,1997,February,,,,,,0,0,0,0,,
TEXAS,5587882,1997,February,,,,,,0,0,2,0,2M,50K
MICHIGAN,5588273,1997,February,,,,,,0,0,0,0,,
MICHIGAN,5588274,1997,February,,,,,,0,0,0,0,25K,
MICHIGAN,5588275,1997,February,,,,,,0,0,0,0,,
MICHIGAN,5588264,1997,February,,,,,,0,0,0,0,,
NEVADA,5590156,1997,January,,,,,,50,0,0,0,.64B,
NEVADA,5590157,1997,January,,,,,,0,0,0,0,0,
NEVADA,5590158,1997,January,,,,,,0,0,2,0,0,
IOWA,5598899,1997,June,,,,,,0,0,0,0,,
SOUTH DAKOTA,5605446,1997,April,,,,,,0,0,0,0,,
IOWA,5590770,1997,February,,,,,,0,0,0,0,,
MISSOURI,5587470,1997,February,,,,,,0,0,0,0,,
IOWA,5586118,1997,February,,,,,,0,0,0,0,,
MICHIGAN,5588271,1997,February,,,,,,0,0,0,0,,
IOWA,5586113,1997,February,,,,,,0,0,0,0,,
INDIANA,5585951,1997,February,,,,,,0,0,0,0,,
ILLINOIS,5590234,1997,February,,,,,,0,0,0,0,,
IOWA,5585530,1997,February,,,,,,0,0,0,0,,
INDIANA,5585945,1997,February,,,,,,0,0,0,0,,
INDIANA,5585946,1997,February,,,,,,0,0,0,0,,
IOWA,5598895,1997,June,,,,,,0,0,0,0,,
OHIO,5588618,1997,February,,,,,,0,0,0,0,,
IOWA,5598893,1997,June,,,,,,0,0,0,0,,
PUERTO RICO,5599298,1997,January,,,,,,0,0,0,0,,
TEXAS,5589657,1997,February,,,,,,0,0,0,0,,
ILLINOIS,5589915,1997,February,,,,,,0,0,1,0,,
